Name,Description,Enabled,Severity
asic-chip-down,ASIC (Chip) Down,True,Warning
cli-line-executed,CLI command executed,True,Warning
cpu-util-high,CPU utilization has risen too high,True,Warning
dcbx-ets-module-state-change,DCBX ETS module state change,True,Warning
dcbx-ets-port-admin-state-trap,DCBX ETS Port Admin State Trap,True,Warning
dcbx-ets-port-oper-state-trap,DCBX ETS Port Oper State Trap,True,Warning
dcbx-ets-port-peer-state-trap,DCBX ETS Port Peer State Trap,True,Warning
dcbx-pfc-module-state-change,DCBX PFC module state change,True,Warning
dcbx-pfc-port-admin-state-trap,DCBX PFC Port Admin State Trap,True,Warning
dcbx-pfc-port-oper-state-trap,DCBX PFC Port Oper State Trap,True,Warning
dcbx-pfc-port-peer-state-trap,DCBX PFC Port Peer State Trap,True,Warning
disk-space-low,Filesystem free space has fallen too low,True,Warning
entity-state-change,The state of an entity has changed,True,Warning
health-module-status,Health module Status,True,Warning
insufficient-fans,Insufficient amount of fans in system,True,Warning
insufficient-fans-recover,Insufficient amount of fans in system recovered,True,Warning
insufficient-power,Insufficient power supply,True,Warning
interface-down,An interface's link state has changed to down,True,Warning
interface-up,An interface's link state has changed to up,True,Warning
internal-bus-error,Internal bus (I2C) Error,True,Warning
internal-link-speed-mismatch,Internal links speed mismatch,True,Warning
liveness-failure,A process in the system was detected as hung,True,Warning
low-power,Low power supply,True,Warning
low-power-recover,Low power supply Recover,True,Warning
mstp-new-bridge-root,the bridge become the root bridge root of a MSTI,True,Warning
mstp-new-root-port,the root port of a MSTI changed,True,Warning
mstp-topology-change,port in msti become forwarding of blocking,True,Warning
new_root,local bridge became a root bridge,True,Warning
ospf-auth-fail,auth_fail,True,Warning
ospf-config-error,config_error,True,Warning
ospf-if-rx-bad-packet,if_rx_bad_packet,True,Warning
ospf-if-state-change,if_state_change,True,Warning
ospf-lsdb-approaching-overflow,lsdb_approaching_overflow,True,Warning
ospf-lsdb-overflow,lsdb_overflowp,True,Warning
ospf-nbr-state-change,nbr_state_change,True,Warning
paging-high,Paging activity has risen too high,True,Warning
power-redundancy-mismatch,Power redundancy mismatch,True,Warning
process-crash,A process in the system has crashed,True,Warning
process-exit,A process in the system unexpectedly exited,True,Warning
snmp-authtrap,An SNMP v3 request has failed authentication,True,Warning
topology_change,local bridge trigerred a topology change,True,Warning
unexpected-shutdown,Unexpected system shutdown,True,Warning
xstp-new-root-bridge,the bridge became the root bridge of STI,True,Warning
xstp-root-port-change,XSTP root port changed,True,Warning
xstp-topology-change,port in pvrst become forwarding of blocking,True,Warning